facility_id,sector,subsector,state,primary_fuel,data_status,dataset_provenance_id,annual_production_kt,production_tonnes,electricity_intensity_kwh_t,thermal_intensity_gj_t,renewable_electricity_pct,clinker_factor_pct,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,actual_gei,target_gei,gei_unit,surplus_shortfall_tco2e,compliance_status,year_offset
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2392.22,2392216.1,746.9,21.365,15.0,0.0,2851883.0,1086879.0,3938762.0,1.6669,2.7546,tCO2e/t-steel,2601912.0,POTENTIAL_SURPLUS,0
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3118.0,3117998.9,738.1,21.243,16.7,0.0,3695993.0,1372123.0,5068116.0,1.5613,2.7546,tCO2e/t-steel,3720752.0,POTENTIAL_SURPLUS,1
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2494.3,2494304.6,822.3,20.499,20.0,0.0,2853156.0,1174801.0,4027957.0,1.6175,2.7546,tCO2e/t-steel,2836353.0,POTENTIAL_SURPLUS,2
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3063.48,3063484.2,722.5,19.684,17.3,0.0,3364829.0,1311054.0,4675883.0,1.5419,2.7546,tCO2e/t-steel,3715137.0,POTENTIAL_SURPLUS,3
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2430.44,2430441.5,777.7,21.031,18.4,0.0,2852250.0,1104319.0,3956570.0,1.6483,2.7546,tCO2e/t-steel,2688755.0,POTENTIAL_SURPLUS,4
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2937.96,2937961.8,827.3,20.719,17.0,0.0,3396687.0,1444060.0,4840747.0,1.6313,2.7546,tCO2e/t-steel,3300071.0,POTENTIAL_SURPLUS,5
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2594.14,2594143.3,788.1,20.866,20.2,0.0,3020485.0,1167764.0,4188250.0,1.5932,2.7546,tCO2e/t-steel,3012723.0,POTENTIAL_SURPLUS,6
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2707.89,2707887.7,813.4,22.467,17.9,0.0,3394800.0,1295087.0,4689887.0,1.6725,2.7546,tCO2e/t-steel,2930259.0,POTENTIAL_SURPLUS,7
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3126.11,3126106.6,779.0,21.217,17.5,0.0,3701065.0,1439012.0,5140077.0,1.56,2.7546,tCO2e/t-steel,3734563.0,POTENTIAL_SURPLUS,8
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2654.23,2654225.5,838.1,20.578,17.3,0.0,3047677.0,1316834.0,4364510.0,1.6248,2.7546,tCO2e/t-steel,2998729.0,POTENTIAL_SURPLUS,9
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3338.97,3338969.0,810.2,19.719,14.8,0.0,3673863.0,1649287.0,5323150.0,1.5877,2.7546,tCO2e/t-steel,3896348.0,POTENTIAL_SURPLUS,10
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2682.19,2682193.8,746.6,20.743,17.8,0.0,3104474.0,1178832.0,4283306.0,1.5982,2.7546,tCO2e/t-steel,3101608.0,POTENTIAL_SURPLUS,11
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3068.07,3068074.3,799.0,20.589,18.2,0.0,3524781.0,1435435.0,4960216.0,1.6403,2.7546,tCO2e/t-steel,3418864.0,POTENTIAL_SURPLUS,12
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2709.1,2709097.8,748.6,21.103,19.1,0.0,3190138.0,1175151.0,4365289.0,1.6019,2.7546,tCO2e/t-steel,3122738.0,POTENTIAL_SURPLUS,13
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2945.8,2945802.6,775.8,21.012,16.7,0.0,3453911.0,1362173.0,4816084.0,1.5746,2.7546,tCO2e/t-steel,3476092.0,POTENTIAL_SURPLUS,14
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2630.23,2630234.3,772.4,20.186,18.4,0.0,2962687.0,1187680.0,4150367.0,1.5712,2.7546,tCO2e/t-steel,3112710.0,POTENTIAL_SURPLUS,15
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2879.15,2879145.8,855.5,21.094,18.7,0.0,3388952.0,1433343.0,4822295.0,1.6705,2.7546,tCO2e/t-steel,3121354.0,POTENTIAL_SURPLUS,16
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2630.94,2630936.8,787.8,20.526,16.7,0.0,3013306.0,1235839.0,4249145.0,1.6303,2.7546,tCO2e/t-steel,2958030.0,POTENTIAL_SURPLUS,17
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2669.64,2669642.2,794.4,20.691,17.8,0.0,3082191.0,1248922.0,4331112.0,1.6078,2.7546,tCO2e/t-steel,3061638.0,POTENTIAL_SURPLUS,18
SYN-IRO-F0001,iron_steel,bf_bof_integrated,Rajasthan,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2699.64,2699638.0,750.6,19.737,16.3,0.0,2973190.0,1214538.0,4187728.0,1.5324,2.7546,tCO2e/t-steel,3299446.0,POTENTIAL_SURPLUS,19
SYN-IRO-F0002,iron_steel,dri_eaf,Madhya Pradesh,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,6804.88,6804883.4,669.0,20.81,10.4,0.0,13806664.0,2920693.0,16727357.0,2.4372,2.4212,tCO2e/t-steel,-109166.0,POTENTIAL_SHORTFALL,0
